date,exchange_rate
2014-01-30,808
2014-02-02,819
2014-02-05,812
2014-02-08,706
2014-02-11,666
2014-02-14,673
2014-02-17,630
2014-02-20,564
2014-02-23,594
2014-02-26,554
2014-03-01,561
2014-03-04,617
2014-03-07,614
2014-03-10,631
2014-03-13,628
2014-03-16,632
2014-03-19,610
2014-03-22,581
2014-03-25,562
2014-03-28,490
2014-03-31,457
2014-04-03,446
2014-04-06,434
2014-04-09,448
2014-04-12,389
2014-04-15,430
2014-04-18,505
2014-04-21,492
2014-04-24,499
2014-04-27,445
2014-04-30,448
2014-05-03,449
2014-05-06,443
2014-05-09,448
2014-05-12,440
2014-05-15,448
2014-05-18,440
2014-05-21,520
2014-05-24,524
2014-05-27,579
2014-05-30,599
2014-06-02,629
2014-06-05,645
2014-06-08,665
2014-06-11,627
2014-06-14,582
2014-06-17,586
2014-06-20,596
2014-06-23,600
2014-06-26,587
2014-06-29,570
2014-07-02,637
2014-07-05,621
2014-07-08,629
2014-07-11,632
2014-07-14,628
2014-07-17,613
2014-07-20,615
2014-07-23,623
2014-07-26,594
2014-07-29,589
2014-08-01,580
2014-08-04,592
2014-08-07,588
2014-08-10,523
2014-08-13,509
2014-08-16,497
2014-08-19,507
2014-08-22,518
2014-08-25,489
2014-08-28,510
2014-08-31,477
2014-09-03,476
2014-09-06,482
2014-09-09,468
2014-09-12,475
2014-09-15,480
2014-09-18,411
2014-09-21,401
2014-09-24,404
2014-09-27,399
2014-09-30,383
2014-10-03,369
2014-10-06,327
2014-10-09,348
2014-10-12,387
2014-10-15,384
2014-10-18,383
2014-10-21,389
2014-10-24,350
2014-10-27,345
2014-10-30,338
2014-11-02,326
2014-11-05,331
2014-11-08,347
2014-11-11,359
2014-11-14,381
2014-11-17,396
2014-11-20,382
2014-11-23,358
2014-11-26,378
2014-11-29,375
2014-12-02,376
2014-12-05,374
2014-12-08,351
2014-12-11,348
2014-12-14,351
2014-12-17,312
2014-12-20,315
2014-12-23,327
2014-12-26,319
2014-12-29,318
2015-01-01,314
2015-01-04,282
2015-01-07,289
2015-01-10,286
2015-01-13,228
2015-01-16,208
2015-01-19,214
2015-01-22,232
2015-01-25,240
2015-01-28,233
2015-01-31,226
2015-02-03,227
2015-02-06,225
2015-02-09,221
2015-02-12,220
2015-02-15,232
2015-02-18,235
2015-02-21,244
2015-02-24,240
2015-02-27,255
2015-03-02,260
2015-03-05,278
2015-03-08,291
2015-03-11,296
2015-03-14,283
2015-03-17,291
2015-03-20,260
2015-03-23,270
2015-03-26,245
2015-03-29,248
2015-04-01,246
2015-04-04,254
2015-04-07,279
2015-04-10,236
2015-04-13,224
2015-04-16,222
2015-04-19,226
2015-04-22,233
2015-04-25,238
2015-04-28,237
2015-05-01,240
2015-05-04,237
2015-05-07,240
2015-05-10,242
2015-05-13,237
2015-05-16,235
2015-05-19,234
2015-05-22,240
2015-05-25,237
2015-05-28,236
2015-05-31,233
2015-06-03,225
2015-06-06,225
2015-06-09,229
2015-06-12,231
2015-06-15,236
2015-06-18,245
2015-06-21,245
2015-06-24,247
2015-06-27,252
2015-06-30,257
2015-07-03,260
2015-07-06,268
2015-07-09,270
2015-07-12,285
2015-07-15,286
